year,n,name
1946,1.63,oil
1947,2.16,oil
1948,2.77,oil
1949,2.77,oil
1950,2.77,oil
1951,2.77,oil
1952,2.77,oil
1953,2.92,oil
1954,2.99,oil
1955,2.93,oil
1956,2.94,oil
1957,3.14,oil
1958,3,oil
1959,3,oil
1960,2.91,oil
1961,2.85,oil
1962,2.85,oil
1963,2.91,oil
1964,3,oil
1965,3.01,oil
1966,3.1,oil
1967,3.12,oil
1968,3.18,oil
1969,3.32,oil
1970,3.39,oil
1971,3.6,oil
1972,3.6,oil
1973,4.75,oil
1974,9.35,oil
1975,12.21,oil
1976,13.1,oil
1977,14.4,oil
1978,14.95,oil
1979,25.1,oil
1980,37.42,oil
1981,35.75,oil
1982,31.83,oil
1983,29.08,oil
1984,28.75,oil
1985,26.92,oil
1986,14.44,oil
1987,17.75,oil
1988,14.87,oil
1989,18.33,oil
1990,23.19,oil
1991,20.2,oil
1992,19.25,oil
1993,16.75,oil
1994,15.66,oil
1995,16.75,oil
1996,20.46,oil
1997,18.64,oil
1998,11.91,oil
1999,16.56,oil
2000,27.39,oil
2001,23,oil
2002,22.81,oil
2003,27.69,oil
2004,37.66,oil
2005,50.04,oil
2006,58.3,oil
2007,64.2,oil
2008,91.48,oil
2009,53.48,oil
2010,71.21,oil
2011,87.04,oil
2012,86.46,oil
2013,91.17,oil
2014,85.6,oil
2015,41.85,oil
2016,36.34,oil
2017,46.27,oil
2018,59.34,oil
2019,50.46,oil
2020,39.42,oil
1946,0.3471,Gold
1947,0.3471,Gold
1948,0.3471,Gold
1949,0.3169,Gold
1950,0.3472,Gold
1951,0.3472,Gold
1952,0.346,Gold
1953,0.3484,Gold
1954,0.3504,Gold
1955,0.3503,Gold
1956,0.3499,Gold
1957,0.3495,Gold
1958,0.351,Gold
1959,0.351,Gold
1960,0.3527,Gold
1961,0.3525,Gold
1962,0.3523,Gold
1963,0.3509,Gold
1964,0.351,Gold
1965,0.3512,Gold
1966,0.3513,Gold
1967,0.3495,Gold
1968,0.411,Gold
1969,0.3517,Gold
1970,0.3744,Gold
1971,0.4348,Gold
1972,0.6391,Gold
1973,1.0672,Gold
1974,1.8385,Gold
1975,1.4025,Gold
1976,1.345,Gold
1977,1.6495,Gold
1978,2.26,Gold
1979,5.12,Gold
1980,5.8975,Gold
1981,3.975,Gold
1982,4.569,Gold
1983,3.824,Gold
1984,3.09,Gold
1985,3.2655,Gold
1986,3.9613,Gold
1987,4.841,Gold
1988,4.1025,Gold
1989,3.986,Gold
1990,3.9275,Gold
1991,3.532,Gold
1992,3.329,Gold
1993,3.9175,Gold
1994,3.8325,Gold
1995,3.87,Gold
1996,3.6925,Gold
1997,2.902,Gold
1998,2.878,Gold
1999,2.9025,Gold
2000,2.7445,Gold
2001,2.765,Gold
2002,3.472,Gold
2003,4.1625,Gold
2004,4.356,Gold
2005,5.13,Gold
2006,6.32,Gold
2007,8.3375,Gold
2008,8.6975,Gold
2009,10.875,Gold
2010,14.055,Gold
2011,15.31,Gold
2012,16.575,Gold
2013,12.045,Gold
2014,12.06,Gold
2015,10.6,Gold
2016,11.455,Gold
2017,12.91,Gold
2018,12.79,Gold
2019,15.1475,Gold
1950,0.75,Min Wage
1956,1.00,Min Wage
1961,1.15,Min Wage
1963,1.25,Min Wage
1964,1.25,Min Wage
1965,1.25,Min Wage
1967,1.40,Min Wage
1968,1.60,Min Wage
1969,1.60,Min Wage
1970,1.60,Min Wage
1971,1.60,Min Wage
1974,2.00,Min Wage
1905,2.10,Min Wage
1976,2.30,Min Wage
1977,2.30,Min Wage
1978,2.65,Min Wage
1979,2.9,Min Wage
1980,3.1,Min Wage
1981,3.35,Min Wage
1990,3.8,Min Wage
1991,4.25,Min Wage
1996,4.75,Min Wage
1997,5.15,Min Wage
2007,5.85,Min Wage
2008,6.55,Min Wage
2009,7.25,Min Wage
2010,7.25,Min Wage
2011,7.25,Min Wage
2012,7.25,Min Wage
2013,7.25,Min Wage
2014,7.25,Min Wage
2015,7.25,Min Wage
2016,7.25,Min Wage
2017,7.25,Min Wage
2018,7.25,Min Wage
2019,7.25,Min Wage
2020,7.25,Min Wage
